reason,R,side,exit,entry,time,strategy,regime,session,mfe_R,mae_R,partial,partial_pct
SL,-1.0012,short,117860.07017446565,117847.7,2025-07-13 11:13:00+00:00,RangeRevert,range,europe,1.430860983337585,-1.1479223708131572,False,
SL,-1.0012,short,118592.37339655234,118525.4,2025-07-13 13:46:00+00:00,RangeRevert,range,europe,0.4419665348292825,-1.084012514480336,False,
TP,1.7988,long,118604.79438999986,118488.0,2025-07-13 15:50:00+00:00,RangeRevert,range,europe,2.145308520386054,0.0,False,
TP,1.7988,long,118695.53555692681,118635.8,2025-07-13 18:02:00+00:00,RangeRevert,range,us,1.8712473064734203,0.0,False,
SL,-1.0012,long,118868.64695476195,118923.0,2025-07-13 20:00:00+00:00,RangeRevert,range,us,0.0,-1.1370108101456535,False,
SL,-1.0012,long,118415.26338539041,118494.0,2025-07-13 22:02:00+00:00,RangeRevert,range,us,0.0,-1.0884389737219913,False,
SL,-1.0012,short,118921.72336603439,118870.9,2025-07-13 23:51:00+00:00,RangeRevert,range,us,0.33449181599843486,-3.041907926668234,False,
SL,-1.0012,short,119170.69443765494,119127.4,2025-07-14 01:43:00+00:00,RangeRevert,range,asia,0.0,-1.3997179148737005,False,
SL,-1.0012,short,119976.330340246,119918.9,2025-07-14 03:42:00+00:00,RangeRevert,range,asia,0.18108894976847006,-14.598555335189602,False,
SL,-1.0012,short,121545.86711684507,121469.4,2025-07-14 05:22:00+00:00,RangeRevert,range,asia,0.0,-5.080615250436898,False,
TP,1.7988,short,122204.37532944091,122294.7,2025-07-14 07:06:00+00:00,RangeRevert,range,asia,2.361481073550977,0.0,False,
SL,-0.0012,long,122185.0,122185.0,2025-07-14 09:17:00+00:00,RangeRevert,range,europe,1.7184077000031026,-0.10326969350980544,False,
TP,1.7988,long,121663.14395699659,121591.9,2025-07-14 11:18:00+00:00,RangeRevert,range,europe,1.9732199884227164,-0.9120773570043217,False,
TP,1.7988,short,121819.84807362859,121902.3,2025-07-14 13:09:00+00:00,RangeRevert,range,europe,2.023724700480023,0.0,False,
SL,-1.0012,long,120309.5348143535,120406.1,2025-07-14 15:31:00+00:00,RangeRevert,range,europe,0.0,-1.690050082826124,False,
SL,-1.0012,long,120085.37770012715,120160.2,2025-07-14 17:26:00+00:00,RangeRevert,range,us,1.2656654521570383,-1.5797429402847185,False,
SL,-1.0012,short,119962.78849624796,119903.6,2025-07-14 19:32:00+00:00,RangeRevert,range,us,0.0,-2.6576110219292124,False,
TP,1.7988,long,120066.06420533214,119969.1,2025-07-14 22:09:00+00:00,RangeRevert,range,us,2.4095489588111745,-0.9875809291894764,False,
TP,1.7988,long,119810.15737916893,119750.0,2025-07-14 23:54:00+00:00,RangeRevert,range,us,1.9718279226709103,-0.23937213021803758,False,
SL,-1.0012,long,118769.88884683594,118886.8,2025-07-15 01:58:00+00:00,RangeRevert,range,asia,0.1753468291535256,-2.494201725910687,False,
TP,1.7988,long,117240.13875643074,117019.1,2025-07-15 03:43:00+00:00,RangeRevert,range,asia,2.1742793334552535,0.0,False,
TP,1.7988,long,117528.10891760478,117432.8,2025-07-15 05:23:00+00:00,RangeRevert,range,asia,1.994356926685569,0.0,False,
SL,-1.0012,long,116785.62243508469,116838.9,2025-07-15 07:38:00+00:00,RangeRevert,range,asia,0.6644447818942456,-1.6930203199673513,False,
TP,1.7988,short,117107.24375128942,117192.0,2025-07-15 09:16:00+00:00,RangeRevert,range,europe,1.8221665346161908,0.0,False,
SL,-1.0012,long,116929.5625056769,116961.5,2025-07-15 11:10:00+00:00,RangeRevert,range,europe,0.0,-1.83170286961751,False,
TP,1.7988,short,117773.1929796957,118018.1,2025-07-15 13:39:00+00:00,RangeRevert,range,europe,2.798041473652151,-0.1337650507498278,False,
TP,1.7988,short,116497.831423833,116693.3,2025-07-15 15:57:00+00:00,RangeRevert,range,europe,2.465153271430886,0.0,False,
SL,-0.0012,long,117204.1,117204.1,2025-07-15 18:23:00+00:00,RangeRevert,range,us,1.5584253946554916,-0.8950528737221182,False,
TP,1.7988,long,116402.33779536205,116229.1,2025-07-15 20:21:00+00:00,RangeRevert,range,us,2.5975855849444547,0.0,False,
SL,-1.0012,long,117327.68876904313,117367.1,2025-07-15 22:33:00+00:00,RangeRevert,range,us,0.0,-2.6236176209047843,False,
TP,1.7988,short,117794.5484859232,117871.7,2025-07-16 00:41:00+00:00,RangeRevert,range,asia,2.687698387792911,0.0,False,
SL,-1.0012,long,117219.59900720535,117286.9,2025-07-16 02:33:00+00:00,RangeRevert,range,asia,1.3833376913781616,-1.4115690728347705,False,
SL,-1.0012,long,117297.88333115944,117338.5,2025-07-16 04:13:00+00:00,RangeRevert,range,asia,0.0,-1.2507180290783106,False,
SL,-1.0012,short,118005.44088341719,117963.7,2025-07-16 06:24:00+00:00,RangeRevert,range,asia,0.8121533907455556,-2.4340644395211606,False,
SL,-1.0012,short,118336.3604253853,118301.7,2025-07-16 08:33:00+00:00,RangeRevert,range,europe,0.0,-1.7512768330232034,False,
SL,-1.0012,long,118936.29863766057,118988.2,2025-07-16 10:38:00+00:00,RangeRevert,range,europe,0.0,-2.755226328449865,False,
TP,1.7988,short,118814.97125249819,118869.6,2025-07-16 12:31:00+00:00,RangeRevert,range,europe,9.542228658687002,0.0,False,
TP,1.7988,short,118372.38517656235,118554.4,2025-07-16 14:33:00+00:00,RangeRevert,range,europe,1.817654154488902,0.0,False,
TP,1.7988,short,119209.2956502482,119339.9,2025-07-16 17:04:00+00:00,RangeRevert,range,us,1.8867671748169552,0.0,False,
SL,-1.0012,long,119293.90736553964,119383.0,2025-07-16 19:10:00+00:00,RangeRevert,range,us,0.0,-1.8800656307285064,False,
TP,1.7988,long,119630.40405820824,119523.0,2025-07-16 20:57:00+00:00,RangeRevert,range,us,1.863616732357678,0.0,False,
