reason,R,side,exit,entry,time,partial,partial_pct,strategy,regime,session,mfe_R,mae_R
SL,-1.417181,long,118288.28334843798,118401.7,2025-07-13 13:04:00+00:00,False,1.0,TrendStrategy,trend,EU,0.9566496498151051,-1.0844968380392437
SL,-1.502095,long,119240.7054208084,119335.7,2025-07-13 19:34:00+00:00,False,1.0,TrendStrategy,trend,US,0.42949819186748117,-2.220126682961834
SL,-1.3285,long,119665.08906896487,119810.8,2025-07-14 02:34:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.2559862855519593,-1.0260040131371295
TP,2.818695,long,122910.80790254402,122097.3,2025-07-14 07:38:00+00:00,False,1.0,TrendStrategy,trend,ASIA,4.060562890255673,-0.7371778419418318
SL,-1.190986,short,121431.52605744093,121177.2,2025-07-14 14:29:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.0922986138158968
SL,0.748456,short,119490.1996829163,119705.2,2025-07-14 16:22:00+00:00,False,1.0,TrendStrategy,trend,US,2.1213184005768,-0.7842476973645365
SL,-1.432709,short,119742.89136844997,119632.2,2025-07-14 19:01:00+00:00,False,1.0,TrendStrategy,trend,US,0.24030780694534826,-1.2367721342417697
SL,-1.318728,short,119445.7030926779,119295.8,2025-07-15 00:51:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0780504243840874,-1.361546292033805
SL,-1.167962,short,118282.88958198321,118001.2,2025-07-15 02:43:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.44517088320102194,-1.0429920692541277
SL,-1.18114,short,117024.51814823042,116766.1,2025-07-15 04:15:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.2677128221966194,-1.4670022310583601
SL,-1.452916,short,116602.87969764203,116499.9,2025-07-15 11:38:00+00:00,False,1.0,TrendStrategy,trend,EU,1.3536648795042459,-1.3021984242577822
SL,-1.225766,long,117569.4962943136,117777.8,2025-07-15 13:32:00+00:00,False,1.0,TrendStrategy,trend,US,1.4354041327049436,-1.087834703916216
SL,-1.389948,long,118001.65659312805,118122.7,2025-07-16 01:10:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.672486028802218,-1.245834068100314
TP,2.599047,long,119078.58690520245,118722.2,2025-07-16 09:19:00+00:00,False,1.0,TrendStrategy,trend,EU,3.027889028041026,-0.9865682348801844
SL,-1.24684,short,118503.4328348131,118311.4,2025-07-16 13:55:00+00:00,False,1.0,TrendStrategy,trend,US,0.30359391432579663,-1.2096889587975561
SL,-1.324428,long,119474.59496164824,119621.9,2025-07-16 17:40:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.0556325957343167
SL,1.179985,long,119758.43193293903,119553.2,2025-07-16 20:47:00+00:00,False,1.0,TrendStrategy,trend,US,2.5927960124550014,-0.033000585637220164
SL,1.328024,short,117950.65243550795,118228.4,2025-07-17 01:56:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.961694460653367,-0.16415459379350728
SL,-1.39089,short,118085.33734586155,117964.5,2025-07-17 07:31:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.6637020982890958,-1.252096352508052
SL,-1.336727,long,118760.22415711338,118901.3,2025-07-17 09:59:00+00:00,False,1.0,TrendStrategy,trend,EU,1.6459231803889243,-1.0115126522028322
SL,-1.443891,short,117570.94588061185,117465.0,2025-07-17 12:30:00+00:00,False,1.0,TrendStrategy,trend,EU,0.0,-1.9623226386843475
SL,-1.221002,long,118454.90428953379,118669.3,2025-07-17 15:10:00+00:00,False,1.0,TrendStrategy,trend,US,0.9822957723455987,-1.0317370600325384
SL,0.674834,long,119250.2809458088,119111.1,2025-07-17 18:13:00+00:00,False,1.0,TrendStrategy,trend,US,2.088366145765164,-0.5768641208013606
TP,2.708597,long,120284.33133631524,119789.0,2025-07-17 21:15:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.3141452592356235,0.0
SL,-1.277011,long,120108.86425440674,120282.3,2025-07-18 01:15:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.5564020246801363,-1.1076148076793515
SL,0.617711,short,118641.20537701917,118779.3,2025-07-18 08:54:00+00:00,False,1.0,TrendStrategy,trend,EU,2.4684399351021753,0.0
SL,-0.333995,short,118884.1,118884.1,2025-07-18 14:06:00+00:00,False,1.0,TrendStrategy,trend,US,2.380279384720456,-0.44037626858058965
SL,-1.253961,short,117644.4955119668,117459.2,2025-07-18 17:17:00+00:00,False,1.0,TrendStrategy,trend,US,0.627106392198082,-1.2995457766033023
SL,-1.40255,short,117325.48238194358,117208.9,2025-07-18 19:04:00+00:00,False,1.0,TrendStrategy,trend,US,0.524092911650707,-1.5980116111381704
SL,-1.704097,short,117679.05386898578,117612.2,2025-07-19 19:13:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.3133121737302875
TP,2.317015,long,118656.4785133687,118448.0,2025-07-20 14:06:00+00:00,False,1.0,TrendStrategy,trend,US,3.0967220053906503,0.0
SL,-0.320189,short,117989.41170543598,118018.3,2025-07-20 20:06:00+00:00,False,1.0,TrendStrategy,trend,US,2.1494648079109098,0.0
TP,2.707654,short,116804.15093179187,117283.6,2025-07-20 22:16:00+00:00,False,1.0,TrendStrategy,trend,ASIA,4.740440957564544,-0.6157066924819429
TP,2.552158,long,117889.28621213911,117573.4,2025-07-21 02:11:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.109347487339714,0.0
TP,2.655156,long,119399.59090674004,118984.1,2025-07-21 07:06:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.061438841057189,-0.3769035554321248
SL,-1.472565,short,118037.31206886718,117937.4,2025-07-21 12:12:00+00:00,False,1.0,TrendStrategy,trend,EU,1.7225146266241536,-1.4032338794464767
SL,0.449385,long,118818.4182515304,118691.2,2025-07-21 13:56:00+00:00,False,1.0,TrendStrategy,trend,US,1.8913566079154738,0.0
TP,2.705069,short,117571.63084855294,118050.0,2025-07-21 16:20:00+00:00,False,1.0,TrendStrategy,trend,US,3.390895911856354,-0.22263141274440765
SL,-1.330226,short,117505.13308159738,117362.8,2025-07-21 17:48:00+00:00,False,1.0,TrendStrategy,trend,US,0.10749433531750957,-1.133959850996217
SL,-1.268432,short,117087.57639325483,116913.1,2025-07-21 20:31:00+00:00,False,1.0,TrendStrategy,trend,US,1.5434752803875507,-1.0201953208651358
TP,2.684477,long,118543.74619370724,118092.9,2025-07-22 07:28:00+00:00,False,1.0,TrendStrategy,trend,ASIA,3.0609108366923845,-0.1856508963993472
SL,0.410354,long,118494.89544885584,118404.0,2025-07-22 09:47:00+00:00,False,1.0,TrendStrategy,trend,EU,2.002830865440659,-0.07264153397968456
TP,2.799243,short,117968.85572103858,118674.0,2025-07-22 14:00:00+00:00,False,1.0,TrendStrategy,trend,US,3.273798099021822,0.0
SL,0.743901,long,119289.94674291422,119120.0,2025-07-22 18:40:00+00:00,False,1.0,TrendStrategy,trend,US,2.2299232460366785,-0.6944166003624509
SL,-1.307439,short,117995.82074298346,117842.3,2025-07-23 13:03:00+00:00,False,1.0,TrendStrategy,trend,EU,0.34653297636612873,-1.5997838157053168
SL,-1.291822,long,118307.7358154048,118469.9,2025-07-23 16:05:00+00:00,False,1.0,TrendStrategy,trend,US,0.376778634274432,-1.4793648831820856
SL,0.272996,short,117773.83920733593,117863.1,2025-07-23 20:44:00+00:00,False,1.0,TrendStrategy,trend,US,1.9824823333327037,0.0
SL,-1.367527,long,118546.57924093076,118675.6,2025-07-24 08:21:00+00:00,False,1.0,TrendStrategy,trend,EU,0.68516105964432,-1.3176174223930097
SL,0.920106,short,118076.16317730812,118283.9,2025-07-24 14:16:00+00:00,False,1.0,TrendStrategy,trend,US,2.631227135899734,-0.7790496029821282
TP,2.67251,short,116159.86289740138,116585.5,2025-07-25 03:04:00+00:00,False,1.0,TrendStrategy,trend,ASIA,4.113363213194942,-0.8718694816178844
SL,-1.285392,long,116137.22430154521,116300.0,2025-07-25 10:05:00+00:00,False,1.0,TrendStrategy,trend,EU,0.0,-1.325750723532919
SL,-1.208402,short,115788.34025452245,115566.1,2025-07-25 13:47:00+00:00,False,1.0,TrendStrategy,trend,US,0.03239737110400332,-1.307593894834425
SL,0.683592,long,116177.25479990317,116034.4,2025-07-25 17:17:00+00:00,False,1.0,TrendStrategy,trend,US,1.9745193819516813,-0.8482489873613378
SL,1.085363,long,117170.12404840562,117002.8,2025-07-25 20:50:00+00:00,False,1.0,TrendStrategy,trend,US,2.5427504830154786,0.0
SL,-1.50244,long,118025.53801810995,118119.5,2025-07-26 10:48:00+00:00,False,1.0,TrendStrategy,trend,EU,0.6257850123766382,-1.1515295635909368
SL,0.141787,long,118859.1913859547,118800.0,2025-07-27 16:07:00+00:00,False,1.0,TrendStrategy,trend,US,2.0949657328566236,-0.38466541056524844
SL,-1.489423,long,119560.48444651075,119658.2,2025-07-27 22:51:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.1032020609888449,-1.0049577216057368
SL,-1.679971,short,119000.6033351775,118930.6,2025-07-28 07:23:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.72706057066376,-1.382791259224316
SL,-1.473439,short,118564.87324876865,118464.7,2025-07-28 13:27:00+00:00,False,1.0,TrendStrategy,trend,US,0.0,-1.046187493050584
TP,2.485164,short,117725.50089833517,117999.9,2025-07-28 17:15:00+00:00,False,1.0,TrendStrategy,trend,US,3.6035103395046724,-0.0699710745535861
SL,-1.494243,short,117757.80350023198,117662.5,2025-07-28 19:52:00+00:00,False,1.0,TrendStrategy,trend,US,1.4605969314994407,-1.441709902212779
SL,-1.306092,short,117902.67489652733,117748.6,2025-07-29 00:53:00+00:00,False,1.0,TrendStrategy,trend,ASIA,1.3584302486478614,-1.0994652848587512
SL,1.57206,long,118574.53618375196,118335.9,2025-07-29 03:50:00+00:00,False,1.0,TrendStrategy,trend,ASIA,2.7518353787448957,-0.8591777624106113
SL,-1.466706,long,119126.00051592379,119228.1,2025-07-29 07:48:00+00:00,False,1.0,TrendStrategy,trend,ASIA,0.0,-1.0391825282957377
